fc1.weight,fc1.bias,fc3.weight,fc3.bias
"[[  1.4633602   8.533897   -2.42461     5.3632827  47.996387   -8.746725
   -6.3495584  -3.1469674  27.929043    2.4994082]
 [ 31.178324  -17.524868  -18.219246  -13.72624    11.967181  -16.87764
   13.104856   10.622073  -25.45971     9.1036625]
 [-11.330149  -13.969612  -30.612452   -2.1542323  21.229168   -7.917332
   19.9708     28.154398  -15.81458     8.399671 ]
 [  1.4139378  11.704815   -4.4792976   5.0892496  55.456863   -9.466094
   -7.668904   -5.208301   33.036167   -1.5781337]
 [ 12.4296875  15.107784   33.17056     1.0229726 -22.94469     9.025136
  -20.739882  -31.271585   16.31275    -9.567037 ]
 [ -1.3671441  -9.16119     2.5203848  -4.8199387 -51.69319     9.201319
    6.712925    2.688429  -30.565783   -0.5706736]
 [-30.499191   12.507714    3.7194686   6.6691175  56.268894   -9.347428
    2.6507115  -2.8510342  15.692916   -9.048581 ]
 [-33.53577    14.03694     3.9118252   6.407362   61.870823   -9.824592
    3.3788276  -2.8119729  17.770233  -11.129923 ]
 [ 35.64039   -15.040217   -4.4752674  -7.3183913 -66.39223    11.251398
   -2.618134    0.3105585 -20.983124   15.13281  ]
 [ 13.690717   16.204233   34.945946    3.8043952 -24.035664   11.502642
  -22.491076  -34.12764    19.77871   -17.335411 ]]","[ 18.612535     5.3199887   -1.3212073   20.065958     2.0870504
 -19.490423     8.065409     9.111265    -6.4599566   -0.33428195]","[[-10.997        0.05570611   5.3599257    1.5712847    4.787368
   -9.394557    -5.9946547    4.777871    -1.2751085    0.5676502 ]]",[5.166745]
"[[  1.4633602   8.533897   -2.42461     5.3632827  47.996387   -8.746725
   -6.3495584  -3.1469674  27.929043    2.4994082]
 [ 31.178324  -17.524868  -18.219246  -13.72624    11.967181  -16.87764
   13.104856   10.622073  -25.45971     9.1036625]
 [-11.330149  -13.969612  -30.612452   -2.1542323  21.229168   -7.917332
   19.9708     28.154398  -15.81458     8.399671 ]
 [  1.4139378  11.704815   -4.4792976   5.0892496  55.456863   -9.466094
   -7.668904   -5.208301   33.036167   -1.5781337]
 [ 12.4296875  15.107784   33.17056     1.0229726 -22.94469     9.025136
  -20.739882  -31.271585   16.31275    -9.567037 ]
 [ -1.3671441  -9.16119     2.5203848  -4.8199387 -51.69319     9.201319
    6.712925    2.688429  -30.565783   -0.5706736]
 [-30.499191   12.507714    3.7194686   6.6691175  56.268894   -9.347428
    2.6507115  -2.8510342  15.692916   -9.048581 ]
 [-33.53577    14.03694     3.9118252   6.407362   61.870823   -9.824592
    3.3788276  -2.8119729  17.770233  -11.129923 ]
 [ 35.64039   -15.040217   -4.4752674  -7.3183913 -66.39223    11.251398
   -2.618134    0.3105585 -20.983124   15.13281  ]
 [ 13.690717   16.204233   34.945946    3.8043952 -24.035664   11.502642
  -22.491076  -34.12764    19.77871   -17.335411 ]]","[ 18.612535     5.3199887   -1.3212073   20.065958     2.0870504
 -19.490423     8.065409     9.111265    -6.4599566   -0.33428195]","[[-10.997        0.05570611   5.3599257    1.5712847    4.787368
   -9.394557    -5.9946547    4.777871    -1.2751085    0.5676502 ]]",[5.166745]
"[[  1.4633602   8.533897   -2.42461     5.3632827  47.996387   -8.746725
   -6.3495584  -3.1469674  27.929043    2.4994082]
 [ 31.178324  -17.524868  -18.219246  -13.72624    11.967181  -16.87764
   13.104856   10.622073  -25.45971     9.1036625]
 [-11.330149  -13.969612  -30.612452   -2.1542323  21.229168   -7.917332
   19.9708     28.154398  -15.81458     8.399671 ]
 [  1.4139378  11.704815   -4.4792976   5.0892496  55.456863   -9.466094
   -7.668904   -5.208301   33.036167   -1.5781337]
 [ 12.4296875  15.107784   33.17056     1.0229726 -22.94469     9.025136
  -20.739882  -31.271585   16.31275    -9.567037 ]
 [ -1.3671441  -9.16119     2.5203848  -4.8199387 -51.69319     9.201319
    6.712925    2.688429  -30.565783   -0.5706736]
 [-30.499191   12.507714    3.7194686   6.6691175  56.268894   -9.347428
    2.6507115  -2.8510342  15.692916   -9.048581 ]
 [-33.53577    14.03694     3.9118252   6.407362   61.870823   -9.824592
    3.3788276  -2.8119729  17.770233  -11.129923 ]
 [ 35.64039   -15.040217   -4.4752674  -7.3183913 -66.39223    11.251398
   -2.618134    0.3105585 -20.983124   15.13281  ]
 [ 13.690717   16.204233   34.945946    3.8043952 -24.035664   11.502642
  -22.491076  -34.12764    19.77871   -17.335411 ]]","[ 18.612535     5.3199887   -1.3212073   20.065958     2.0870504
 -19.490423     8.065409     9.111265    -6.4599566   -0.33428195]","[[-10.997        0.05570611   5.3599257    1.5712847    4.787368
   -9.394557    -5.9946547    4.777871    -1.2751085    0.5676502 ]]",[5.166745]
"[[  1.4633602   8.533897   -2.42461     5.3632827  47.996387   -8.746725
   -6.3495584  -3.1469674  27.929043    2.4994082]
 [ 31.178324  -17.524868  -18.219246  -13.72624    11.967181  -16.87764
   13.104856   10.622073  -25.45971     9.1036625]
 [-11.330149  -13.969612  -30.612452   -2.1542323  21.229168   -7.917332
   19.9708     28.154398  -15.81458     8.399671 ]
 [  1.4139378  11.704815   -4.4792976   5.0892496  55.456863   -9.466094
   -7.668904   -5.208301   33.036167   -1.5781337]
 [ 12.4296875  15.107784   33.17056     1.0229726 -22.94469     9.025136
  -20.739882  -31.271585   16.31275    -9.567037 ]
 [ -1.3671441  -9.16119     2.5203848  -4.8199387 -51.69319     9.201319
    6.712925    2.688429  -30.565783   -0.5706736]
 [-30.499191   12.507714    3.7194686   6.6691175  56.268894   -9.347428
    2.6507115  -2.8510342  15.692916   -9.048581 ]
 [-33.53577    14.03694     3.9118252   6.407362   61.870823   -9.824592
    3.3788276  -2.8119729  17.770233  -11.129923 ]
 [ 35.64039   -15.040217   -4.4752674  -7.3183913 -66.39223    11.251398
   -2.618134    0.3105585 -20.983124   15.13281  ]
 [ 13.690717   16.204233   34.945946    3.8043952 -24.035664   11.502642
  -22.491076  -34.12764    19.77871   -17.335411 ]]","[ 18.612535     5.3199887   -1.3212073   20.065958     2.0870504
 -19.490423     8.065409     9.111265    -6.4599566   -0.33428195]","[[-10.997        0.05570611   5.3599257    1.5712847    4.787368
   -9.394557    -5.9946547    4.777871    -1.2751085    0.5676502 ]]",[5.166745]
"[[  1.4633602   8.533897   -2.42461     5.3632827  47.996387   -8.746725
   -6.3495584  -3.1469674  27.929043    2.4994082]
 [ 31.178324  -17.524868  -18.219246  -13.72624    11.967181  -16.87764
   13.104856   10.622073  -25.45971     9.1036625]
 [-11.330149  -13.969612  -30.612452   -2.1542323  21.229168   -7.917332
   19.9708     28.154398  -15.81458     8.399671 ]
 [  1.4139378  11.704815   -4.4792976   5.0892496  55.456863   -9.466094
   -7.668904   -5.208301   33.036167   -1.5781337]
 [ 12.4296875  15.107784   33.17056     1.0229726 -22.94469     9.025136
  -20.739882  -31.271585   16.31275    -9.567037 ]
 [ -1.3671441  -9.16119     2.5203848  -4.8199387 -51.69319     9.201319
    6.712925    2.688429  -30.565783   -0.5706736]
 [-30.499191   12.507714    3.7194686   6.6691175  56.268894   -9.347428
    2.6507115  -2.8510342  15.692916   -9.048581 ]
 [-33.53577    14.03694     3.9118252   6.407362   61.870823   -9.824592
    3.3788276  -2.8119729  17.770233  -11.129923 ]
 [ 35.64039   -15.040217   -4.4752674  -7.3183913 -66.39223    11.251398
   -2.618134    0.3105585 -20.983124   15.13281  ]
 [ 13.690717   16.204233   34.945946    3.8043952 -24.035664   11.502642
  -22.491076  -34.12764    19.77871   -17.335411 ]]","[ 18.612535     5.3199887   -1.3212073   20.065958     2.0870504
 -19.490423     8.065409     9.111265    -6.4599566   -0.33428195]","[[-10.997        0.05570611   5.3599257    1.5712847    4.787368
   -9.394557    -5.9946547    4.777871    -1.2751085    0.5676502 ]]",[5.166745]
"[[  1.4633602   8.533897   -2.42461     5.3632827  47.996387   -8.746725
   -6.3495584  -3.1469674  27.929043    2.4994082]
 [ 31.178324  -17.524868  -18.219246  -13.72624    11.967181  -16.87764
   13.104856   10.622073  -25.45971     9.1036625]
 [-11.330149  -13.969612  -30.612452   -2.1542323  21.229168   -7.917332
   19.9708     28.154398  -15.81458     8.399671 ]
 [  1.4139378  11.704815   -4.4792976   5.0892496  55.456863   -9.466094
   -7.668904   -5.208301   33.036167   -1.5781337]
 [ 12.4296875  15.107784   33.17056     1.0229726 -22.94469     9.025136
  -20.739882  -31.271585   16.31275    -9.567037 ]
 [ -1.3671441  -9.16119     2.5203848  -4.8199387 -51.69319     9.201319
    6.712925    2.688429  -30.565783   -0.5706736]
 [-30.499191   12.507714    3.7194686   6.6691175  56.268894   -9.347428
    2.6507115  -2.8510342  15.692916   -9.048581 ]
 [-33.53577    14.03694     3.9118252   6.407362   61.870823   -9.824592
    3.3788276  -2.8119729  17.770233  -11.129923 ]
 [ 35.64039   -15.040217   -4.4752674  -7.3183913 -66.39223    11.251398
   -2.618134    0.3105585 -20.983124   15.13281  ]
 [ 13.690717   16.204233   34.945946    3.8043952 -24.035664   11.502642
  -22.491076  -34.12764    19.77871   -17.335411 ]]","[ 18.612535     5.3199887   -1.3212073   20.065958     2.0870504
 -19.490423     8.065409     9.111265    -6.4599566   -0.33428195]","[[-10.997        0.05570611   5.3599257    1.5712847    4.787368
   -9.394557    -5.9946547    4.777871    -1.2751085    0.5676502 ]]",[5.166745]
"[[  1.4633602   8.533897   -2.42461     5.3632827  47.996387   -8.746725
   -6.3495584  -3.1469674  27.929043    2.4994082]
 [ 31.178324  -17.524868  -18.219246  -13.72624    11.967181  -16.87764
   13.104856   10.622073  -25.45971     9.1036625]
 [-11.330149  -13.969612  -30.612452   -2.1542323  21.229168   -7.917332
   19.9708     28.154398  -15.81458     8.399671 ]
 [  1.4139378  11.704815   -4.4792976   5.0892496  55.456863   -9.466094
   -7.668904   -5.208301   33.036167   -1.5781337]
 [ 12.4296875  15.107784   33.17056     1.0229726 -22.94469     9.025136
  -20.739882  -31.271585   16.31275    -9.567037 ]
 [ -1.3671441  -9.16119     2.5203848  -4.8199387 -51.69319     9.201319
    6.712925    2.688429  -30.565783   -0.5706736]
 [-30.499191   12.507714    3.7194686   6.6691175  56.268894   -9.347428
    2.6507115  -2.8510342  15.692916   -9.048581 ]
 [-33.53577    14.03694     3.9118252   6.407362   61.870823   -9.824592
    3.3788276  -2.8119729  17.770233  -11.129923 ]
 [ 35.64039   -15.040217   -4.4752674  -7.3183913 -66.39223    11.251398
   -2.618134    0.3105585 -20.983124   15.13281  ]
 [ 13.690717   16.204233   34.945946    3.8043952 -24.035664   11.502642
  -22.491076  -34.12764    19.77871   -17.335411 ]]","[ 18.612535     5.3199887   -1.3212073   20.065958     2.0870504
 -19.490423     8.065409     9.111265    -6.4599566   -0.33428195]","[[-10.997        0.05570611   5.3599257    1.5712847    4.787368
   -9.394557    -5.9946547    4.777871    -1.2751085    0.5676502 ]]",[5.166745]
"[[  1.4633602   8.533897   -2.42461     5.3632827  47.996387   -8.746725
   -6.3495584  -3.1469674  27.929043    2.4994082]
 [ 31.178324  -17.524868  -18.219246  -13.72624    11.967181  -16.87764
   13.104856   10.622073  -25.45971     9.1036625]
 [-11.330149  -13.969612  -30.612452   -2.1542323  21.229168   -7.917332
   19.9708     28.154398  -15.81458     8.399671 ]
 [  1.4139378  11.704815   -4.4792976   5.0892496  55.456863   -9.466094
   -7.668904   -5.208301   33.036167   -1.5781337]
 [ 12.4296875  15.107784   33.17056     1.0229726 -22.94469     9.025136
  -20.739882  -31.271585   16.31275    -9.567037 ]
 [ -1.3671441  -9.16119     2.5203848  -4.8199387 -51.69319     9.201319
    6.712925    2.688429  -30.565783   -0.5706736]
 [-30.499191   12.507714    3.7194686   6.6691175  56.268894   -9.347428
    2.6507115  -2.8510342  15.692916   -9.048581 ]
 [-33.53577    14.03694     3.9118252   6.407362   61.870823   -9.824592
    3.3788276  -2.8119729  17.770233  -11.129923 ]
 [ 35.64039   -15.040217   -4.4752674  -7.3183913 -66.39223    11.251398
   -2.618134    0.3105585 -20.983124   15.13281  ]
 [ 13.690717   16.204233   34.945946    3.8043952 -24.035664   11.502642
  -22.491076  -34.12764    19.77871   -17.335411 ]]","[ 18.612535     5.3199887   -1.3212073   20.065958     2.0870504
 -19.490423     8.065409     9.111265    -6.4599566   -0.33428195]","[[-10.997        0.05570611   5.3599257    1.5712847    4.787368
   -9.394557    -5.9946547    4.777871    -1.2751085    0.5676502 ]]",[5.166745]
"[[  1.4633602   8.533897   -2.42461     5.3632827  47.996387   -8.746725
   -6.3495584  -3.1469674  27.929043    2.4994082]
 [ 31.178324  -17.524868  -18.219246  -13.72624    11.967181  -16.87764
   13.104856   10.622073  -25.45971     9.1036625]
 [-11.330149  -13.969612  -30.612452   -2.1542323  21.229168   -7.917332
   19.9708     28.154398  -15.81458     8.399671 ]
 [  1.4139378  11.704815   -4.4792976   5.0892496  55.456863   -9.466094
   -7.668904   -5.208301   33.036167   -1.5781337]
 [ 12.4296875  15.107784   33.17056     1.0229726 -22.94469     9.025136
  -20.739882  -31.271585   16.31275    -9.567037 ]
 [ -1.3671441  -9.16119     2.5203848  -4.8199387 -51.69319     9.201319
    6.712925    2.688429  -30.565783   -0.5706736]
 [-30.499191   12.507714    3.7194686   6.6691175  56.268894   -9.347428
    2.6507115  -2.8510342  15.692916   -9.048581 ]
 [-33.53577    14.03694     3.9118252   6.407362   61.870823   -9.824592
    3.3788276  -2.8119729  17.770233  -11.129923 ]
 [ 35.64039   -15.040217   -4.4752674  -7.3183913 -66.39223    11.251398
   -2.618134    0.3105585 -20.983124   15.13281  ]
 [ 13.690717   16.204233   34.945946    3.8043952 -24.035664   11.502642
  -22.491076  -34.12764    19.77871   -17.335411 ]]","[ 18.612535     5.3199887   -1.3212073   20.065958     2.0870504
 -19.490423     8.065409     9.111265    -6.4599566   -0.33428195]","[[-10.997        0.05570611   5.3599257    1.5712847    4.787368
   -9.394557    -5.9946547    4.777871    -1.2751085    0.5676502 ]]",[5.166745]
"[[  1.4633602   8.533897   -2.42461     5.3632827  47.996387   -8.746725
   -6.3495584  -3.1469674  27.929043    2.4994082]
 [ 31.178324  -17.524868  -18.219246  -13.72624    11.967181  -16.87764
   13.104856   10.622073  -25.45971     9.1036625]
 [-11.330149  -13.969612  -30.612452   -2.1542323  21.229168   -7.917332
   19.9708     28.154398  -15.81458     8.399671 ]
 [  1.4139378  11.704815   -4.4792976   5.0892496  55.456863   -9.466094
   -7.668904   -5.208301   33.036167   -1.5781337]
 [ 12.4296875  15.107784   33.17056     1.0229726 -22.94469     9.025136
  -20.739882  -31.271585   16.31275    -9.567037 ]
 [ -1.3671441  -9.16119     2.5203848  -4.8199387 -51.69319     9.201319
    6.712925    2.688429  -30.565783   -0.5706736]
 [-30.499191   12.507714    3.7194686   6.6691175  56.268894   -9.347428
    2.6507115  -2.8510342  15.692916   -9.048581 ]
 [-33.53577    14.03694     3.9118252   6.407362   61.870823   -9.824592
    3.3788276  -2.8119729  17.770233  -11.129923 ]
 [ 35.64039   -15.040217   -4.4752674  -7.3183913 -66.39223    11.251398
   -2.618134    0.3105585 -20.983124   15.13281  ]
 [ 13.690717   16.204233   34.945946    3.8043952 -24.035664   11.502642
  -22.491076  -34.12764    19.77871   -17.335411 ]]","[ 18.612535     5.3199887   -1.3212073   20.065958     2.0870504
 -19.490423     8.065409     9.111265    -6.4599566   -0.33428195]","[[-10.997        0.05570611   5.3599257    1.5712847    4.787368
   -9.394557    -5.9946547    4.777871    -1.2751085    0.5676502 ]]",[5.166745]
